initial-runs_100_4xgapbs,33674900.0
initial-runs_10_4xgapbs,36036281.0
initial-runs_20_4xgapbs,35559338.0
initial-runs_25_4xgapbs,35568586.0
initial-runs_30_4xgapbs,35454041.0
initial-runs_40_4xgapbs,30392554845.0
initial-runs_50_4xgapbs,731410728.0
initial-runs_60_4xgapbs,35283393.0
initial-runs_70_4xgapbs,35437178.0
initial-runs_75_4xgapbs,0
initial-runs_80_4xgapbs,0
initial-runs_90_4xgapbs,38007599.0
initial-runs_0_4xgapbs,35456440.0
initial-runs_100_502_gcc_r,12975840197.0
initial-runs_10_502_gcc_r,28017440450.0
initial-runs_20_502_gcc_r,21570560345.0
initial-runs_25_502_gcc_r,21596960177.0
initial-runs_30_502_gcc_r,21568000444.0
initial-runs_40_502_gcc_r,17067680340.0
initial-runs_50_502_gcc_r,17054240298.0
initial-runs_60_502_gcc_r,17063040264.0
initial-runs_70_502_gcc_r,16987360271.0
initial-runs_75_502_gcc_r,14959680150.0
initial-runs_80_502_gcc_r,14945760208.0
initial-runs_90_502_gcc_r,16406400135.0
initial-runs_0_502_gcc_r,13793280192.0
initial-runs_100_502xleela,12969920076.0
initial-runs_10_502xleela,27990880557.0
initial-runs_20_502xleela,21546080255.0
initial-runs_25_502xleela,21579840325.0
initial-runs_30_502xleela,21607200212.0
initial-runs_40_502xleela,17042720217.0
initial-runs_50_502xleela,17054720039.0
initial-runs_60_502xleela,17056960120.0
initial-runs_70_502xleela,16985760220.0
initial-runs_75_502xleela,14921760137.0
initial-runs_80_502xleela,14935360175.0
initial-runs_90_502xleela,16362400339.0
initial-runs_0_502xleela,13788800082.0
initial-runs_100_527_cam4_r,12990240087.0
initial-runs_10_527_cam4_r,28036320353.0
initial-runs_20_527_cam4_r,21604000604.0
initial-runs_25_527_cam4_r,21558080531.0
initial-runs_30_527_cam4_r,21572480332.0
initial-runs_40_527_cam4_r,17047680327.0
initial-runs_50_527_cam4_r,17098080173.0
initial-runs_60_527_cam4_r,17016320159.0
initial-runs_70_527_cam4_r,16991520375.0
initial-runs_75_527_cam4_r,14936960101.0
initial-runs_80_527_cam4_r,14929760202.0
initial-runs_90_527_cam4_r,16382880180.0
initial-runs_0_527_cam4_r,13795520298.0
initial-runs_100_527xleela,12978080161.0
initial-runs_10_527xleela,28017120218.0
initial-runs_20_527xleela,21581600428.0
initial-runs_25_527xleela,21537920232.0
initial-runs_30_527xleela,21508480276.0
initial-runs_40_527xleela,17103680460.0
initial-runs_50_527xleela,17040800150.0
initial-runs_60_527xleela,17114080242.0
initial-runs_70_527xleela,16968000309.0
initial-runs_75_527xleela,14944320115.0
initial-runs_80_527xleela,14913120185.0
initial-runs_90_527xleela,16394400130.0
initial-runs_0_527xleela,13791520184.0
initial-runs_100_541_leela_r,12968160250.0
initial-runs_10_541_leela_r,27992000246.0
initial-runs_20_541_leela_r,21558240379.0
initial-runs_25_541_leela_r,21511520431.0
initial-runs_30_541_leela_r,21671040508.0
initial-runs_40_541_leela_r,17081920207.0
initial-runs_50_541_leela_r,17049920238.0
initial-runs_60_541_leela_r,17019200456.0
initial-runs_70_541_leela_r,17030880196.0
initial-runs_75_541_leela_r,14922880470.0
initial-runs_80_541_leela_r,14935360150.0
initial-runs_90_541_leela_r,16389440211.0
initial-runs_0_541_leela_r,13792000070.0
initial-runs_100_557_xz_r,12982400064.0
initial-runs_10_557_xz_r,27987840400.0
initial-runs_20_557_xz_r,21541920289.0
initial-runs_25_557_xz_r,21590560381.0
initial-runs_30_557_xz_r,21503840313.0
initial-runs_40_557_xz_r,17140000215.0
initial-runs_50_557_xz_r,17080480173.0
initial-runs_60_557_xz_r,17041280280.0
initial-runs_70_557_xz_r,16971840218.0
initial-runs_75_557_xz_r,14946400157.0
initial-runs_80_557_xz_r,14949440230.0
initial-runs_90_557_xz_r,16363840173.0
initial-runs_0_557_xz_r,13795200177.0
initial-runs_100_557xleela,12960640093.0
initial-runs_10_557xleela,28001120711.0
initial-runs_20_557xleela,21566400471.0
initial-runs_25_557xleela,21561280354.0
initial-runs_30_557xleela,21511840329.0
initial-runs_40_557xleela,17024480233.0
initial-runs_50_557xleela,17045600231.0
initial-runs_60_557xleela,17034880124.0
initial-runs_70_557xleela,17007840097.0
initial-runs_75_557xleela,14928480158.0
initial-runs_80_557xleela,14926400286.0
initial-runs_90_557xleela,16376960193.0
initial-runs_0_557xleela,13791520316.0
initial-runs_100_gapbs_all_cores,8420269.0
initial-runs_10_gapbs_all_cores,41238.0
initial-runs_20_gapbs_all_cores,8879668.0
initial-runs_25_gapbs_all_cores,8848723.0
initial-runs_30_gapbs_all_cores,8850877.0
initial-runs_40_gapbs_all_cores,8803128.0
initial-runs_50_gapbs_all_cores,8821386.0
initial-runs_60_gapbs_all_cores,8821351.0
initial-runs_70_gapbs_all_cores,8860332.0
initial-runs_75_gapbs_all_cores,4780.0
initial-runs_80_gapbs_all_cores,0.0
initial-runs_90_gapbs_all_cores,9472212.0
initial-runs_0_gapbs_all_cores,8845752.0
