initial-runs_0_4xgapbs,4xgapbs_0,0,1201600084
initial-runs_10_4xgapbs,4xgapbs_10,10,1203740146
initial-runs_100_4xgapbs,4xgapbs_100,100,1199490085
initial-runs_20_4xgapbs,4xgapbs_20,20,1203270083
initial-runs_25_4xgapbs,4xgapbs_25,25,1203280094
initial-runs_30_4xgapbs,4xgapbs_30,30,1201600089
initial-runs_40_4xgapbs,4xgapbs_40,40,1201580089
initial-runs_50_4xgapbs,4xgapbs_50,50,1201560087
initial-runs_60_4xgapbs,4xgapbs_60,60,1201570086
initial-runs_70_4xgapbs,4xgapbs_70,70,1201600089
initial-runs_75_4xgapbs,4xgapbs_75,75,1201490096
initial-runs_80_4xgapbs,4xgapbs_80,80,4721405007
initial-runs_90_4xgapbs,4xgapbs_90,90,1201750092
initial-runs_0_502_gcc_r,502_gcc_r_0,0,636780384
initial-runs_10_502_gcc_r,502_gcc_r_10,10,1205260624
initial-runs_100_502_gcc_r,502_gcc_r_100,100,609621825
initial-runs_20_502_gcc_r,502_gcc_r_20,20,968010325
initial-runs_25_502_gcc_r,502_gcc_r_25,25,966711556
initial-runs_30_502_gcc_r,502_gcc_r_30,30,965601428
initial-runs_40_502_gcc_r,502_gcc_r_40,40,783330441
initial-runs_50_502_gcc_r,502_gcc_r_50,50,784050560
initial-runs_60_502_gcc_r,502_gcc_r_60,60,785120506
initial-runs_70_502_gcc_r,502_gcc_r_70,70,778350888
initial-runs_75_502_gcc_r,502_gcc_r_75,75,683460821
initial-runs_80_502_gcc_r,502_gcc_r_80,80,682571784
initial-runs_90_502_gcc_r,502_gcc_r_90,90,717330458
initial-runs_0_502xleela,502xleela_0,0,636660465
initial-runs_10_502xleela,502xleela_10,10,1203920265
initial-runs_100_502xleela,502xleela_100,100,608930801
initial-runs_20_502xleela,502xleela_20,20,968220754
initial-runs_25_502xleela,502xleela_25,25,967640309
initial-runs_30_502xleela,502xleela_30,30,966310339
initial-runs_40_502xleela,502xleela_40,40,783350451
initial-runs_50_502xleela,502xleela_50,50,784860376
initial-runs_60_502xleela,502xleela_60,60,784130582
initial-runs_70_502xleela,502xleela_70,70,779980462
initial-runs_75_502xleela,502xleela_75,75,684111711
initial-runs_80_502xleela,502xleela_80,80,684760549
initial-runs_90_502xleela,502xleela_90,90,717420506
initial-runs_0_527_cam4_r,527_cam4_r_0,0,636710765
initial-runs_10_527_cam4_r,527_cam4_r_10,10,1202010310
initial-runs_100_527_cam4_r,527_cam4_r_100,100,609950397
initial-runs_20_527_cam4_r,527_cam4_r_20,20,967350358
initial-runs_25_527_cam4_r,527_cam4_r_25,25,966160672
initial-runs_30_527_cam4_r,527_cam4_r_30,30,967280428
initial-runs_40_527_cam4_r,527_cam4_r_40,40,783690666
initial-runs_50_527_cam4_r,527_cam4_r_50,50,784250431
initial-runs_60_527_cam4_r,527_cam4_r_60,60,784180429
initial-runs_70_527_cam4_r,527_cam4_r_70,70,777910690
initial-runs_75_527_cam4_r,527_cam4_r_75,75,684581648
initial-runs_80_527_cam4_r,527_cam4_r_80,80,683590429
initial-runs_90_527_cam4_r,527_cam4_r_90,90,716680483
initial-runs_0_527xleela,527xleela_0,0,636740460
initial-runs_10_527xleela,527xleela_10,10,1204230319
initial-runs_100_527xleela,527xleela_100,100,608770422
initial-runs_20_527xleela,527xleela_20,20,965370340
initial-runs_25_527xleela,527xleela_25,25,966480404
initial-runs_30_527xleela,527xleela_30,30,967810276
initial-runs_40_527xleela,527xleela_40,40,783220888
initial-runs_50_527xleela,527xleela_50,50,784490451
initial-runs_60_527xleela,527xleela_60,60,784350610
initial-runs_70_527xleela,527xleela_70,70,780020497
initial-runs_75_527xleela,527xleela_75,75,684650740
initial-runs_80_527xleela,527xleela_80,80,683520463
initial-runs_90_527xleela,527xleela_90,90,716330392
initial-runs_0_541_leela_r,541_leela_r_0,0,636680711
initial-runs_10_541_leela_r,541_leela_r_10,10,1203570288
initial-runs_100_541_leela_r,541_leela_r_100,100,609400425
initial-runs_20_541_leela_r,541_leela_r_20,20,966510332
initial-runs_25_541_leela_r,541_leela_r_25,25,967041696
initial-runs_30_541_leela_r,541_leela_r_30,30,966580353
initial-runs_40_541_leela_r,541_leela_r_40,40,782890618
initial-runs_50_541_leela_r,541_leela_r_50,50,784650505
initial-runs_60_541_leela_r,541_leela_r_60,60,783810513
initial-runs_70_541_leela_r,541_leela_r_70,70,777370340
initial-runs_75_541_leela_r,541_leela_r_75,75,684651540
initial-runs_80_541_leela_r,541_leela_r_80,80,682901581
initial-runs_90_541_leela_r,541_leela_r_90,90,717300553
initial-runs_0_557_xz_r,557_xz_r_0,0,636710619
initial-runs_10_557_xz_r,557_xz_r_10,10,1204110490
initial-runs_100_557_xz_r,557_xz_r_100,100,609740430
initial-runs_20_557_xz_r,557_xz_r_20,20,966590218
initial-runs_25_557_xz_r,557_xz_r_25,25,967660490
initial-runs_30_557_xz_r,557_xz_r_30,30,966090576
initial-runs_40_557_xz_r,557_xz_r_40,40,784890432
initial-runs_50_557_xz_r,557_xz_r_50,50,784350442
initial-runs_60_557_xz_r,557_xz_r_60,60,784290403
initial-runs_70_557_xz_r,557_xz_r_70,70,779080335
initial-runs_75_557_xz_r,557_xz_r_75,75,684672031
initial-runs_80_557_xz_r,557_xz_r_80,80,684341903
initial-runs_90_557_xz_r,557_xz_r_90,90,717730591
initial-runs_0_557xleela,557xleela_0,0,636630480
initial-runs_10_557xleela,557xleela_10,10,1203980291
initial-runs_100_557xleela,557xleela_100,100,608710703
initial-runs_20_557xleela,557xleela_20,20,966600497
initial-runs_25_557xleela,557xleela_25,25,967620395
initial-runs_30_557xleela,557xleela_30,30,966620489
initial-runs_40_557xleela,557xleela_40,40,784380356
initial-runs_50_557xleela,557xleela_50,50,783680741
initial-runs_60_557xleela,557xleela_60,60,784310617
initial-runs_70_557xleela,557xleela_70,70,779730604
initial-runs_75_557xleela,557xleela_75,75,683220443
initial-runs_80_557xleela,557xleela_80,80,683350377
initial-runs_90_557xleela,557xleela_90,90,717700442
initial-runs_0_gapbs_all_cores,gapbs_all_cores_0,0,4715210085
initial-runs_10_gapbs_all_cores,gapbs_all_cores_10,10,4739880042
initial-runs_100_gapbs_all_cores,gapbs_all_cores_100,100,4708850082
initial-runs_20_gapbs_all_cores,gapbs_all_cores_20,20,4715290082
initial-runs_25_gapbs_all_cores,gapbs_all_cores_25,25,4715290085
initial-runs_30_gapbs_all_cores,gapbs_all_cores_30,30,4715070044
initial-runs_40_gapbs_all_cores,gapbs_all_cores_40,40,4714840083
initial-runs_50_gapbs_all_cores,gapbs_all_cores_50,50,4714950083
initial-runs_60_gapbs_all_cores,gapbs_all_cores_60,60,4714950083
initial-runs_70_gapbs_all_cores,gapbs_all_cores_70,70,4714990169
initial-runs_75_gapbs_all_cores,gapbs_all_cores_75,75,4714920085
initial-runs_80_gapbs_all_cores,gapbs_all_cores_80,80,3586599971
initial-runs_90_gapbs_all_cores,gapbs_all_cores_90,90,4715680083
