Shared Percentage,RMSD,Actual Shared Sets,Actual Private Sets,Legal Shared Cache Size (Bytes),Legal Private Cache Size (Bytes),Actual Shared Percentage,Actual Private Percentage,Legal Shared Cache Sets,Legal Private Cache Sets
0,0.0,0.0,512.0,512,262144,0.04880429477794046,99.95119570522206,1,512
1,0.35633449023019836,20.478515625,506.87890625,8192,262144,0.7751937984496124,99.2248062015504,16,512
2,0.357298870754912,40.958984375,501.759765625,16384,262144,1.5384615384615385,98.46153846153847,32,512
3,0.0734937835487511,61.439453125,496.638671875,32768,262144,3.0303030303030303,96.96969696969697,64,512
4,0.3609793099689927,81.919921875,491.51953125,32768,262144,3.0303030303030303,96.96969696969697,64,512
5,0.33034495176550477,102.3984375,486.400390625,65536,262144,5.88235294117647,94.11764705882354,128,512
6,0.1069533229358726,122.87890625,481.279296875,65536,262144,5.88235294117647,94.11764705882354,128,512
7,0.19414226938655005,143.359375,476.16015625,65536,262144,5.88235294117647,94.11764705882354,128,512
8,0.3759106636498475,163.83984375,471.0390625,65536,262144,5.88235294117647,94.11764705882354,128,512
9,0.4930879784057128,184.318359375,465.919921875,131072,262144,11.11111111111111,88.88888888888889,256,512
10,0.35601835531465087,204.798828125,460.798828125,131072,262144,11.11111111111111,88.88888888888889,256,512
11,0.24955896703777236,225.279296875,455.6796875,131072,262144,11.11111111111111,88.88888888888889,256,512
12,0.1936045247255958,245.759765625,450.55859375,131072,262144,11.11111111111111,88.88888888888889,256,512
13,0.20872772716782906,266.23828125,445.439453125,131072,262144,11.11111111111111,88.88888888888889,256,512
14,0.27216790007097047,286.71875,440.3203125,131072,262144,11.11111111111111,88.88888888888889,256,512
15,0.35236392858770904,307.19921875,435.19921875,131072,262144,11.11111111111111,88.88888888888889,256,512
16,0.43601496879729135,327.6796875,430.080078125,131072,262144,11.11111111111111,88.88888888888889,256,512
17,0.5186950535532585,348.158203125,424.958984375,131072,262144,11.11111111111111,88.88888888888889,256,512
18,0.5537021689469971,368.638671875,419.83984375,262144,262144,20.0,80.0,512,512
19,0.4991837791294081,389.119140625,414.71875,262144,262144,20.0,80.0,512,512
20,0.455277023661147,409.599609375,409.599609375,262144,262144,20.0,80.0,512,512
21,0.4229953715413104,430.078125,404.48046875,262144,262144,20.0,80.0,512,512
22,0.403119028630167,450.55859375,399.359375,262144,262144,20.0,80.0,512,512
23,0.3957932123464267,471.0390625,394.240234375,262144,262144,20.0,80.0,512,512
24,0.40028823170989625,491.51953125,389.119140625,262144,262144,20.0,80.0,512,512
25,0.4150374992788439,512.0,384.0,262144,262144,20.0,80.0,512,512
26,0.4380761036530097,532.478515625,378.87890625,262144,262144,20.0,80.0,512,512
27,0.4674108548922457,552.958984375,373.759765625,262144,262144,20.0,80.0,512,512
28,0.5013452738073852,573.439453125,368.638671875,262144,262144,20.0,80.0,512,512
29,0.5385118037015809,593.919921875,363.51953125,262144,262144,20.0,80.0,512,512
30,0.552110405315054,614.3984375,358.400390625,262144,131072,33.33333333333333,66.66666666666667,512,256
31,0.5587695211038756,634.87890625,353.279296875,262144,131072,33.33333333333333,66.66666666666667,512,256
32,0.5688803645994084,655.359375,348.16015625,262144,131072,33.33333333333333,66.66666666666667,512,256
33,0.5819860334985386,675.83984375,343.0390625,262144,131072,33.33333333333333,66.66666666666667,512,256
34,0.5976740008404963,696.318359375,337.919921875,262144,131072,33.33333333333333,66.66666666666667,512,256
35,0.6155518807276802,716.798828125,332.798828125,262144,131072,33.33333333333333,66.66666666666667,512,256
36,0.592831771211748,737.279296875,327.6796875,524288,131072,50.0,50.0,1024,256
37,0.5476069697445201,757.759765625,322.55859375,524288,131072,50.0,50.0,1024,256
38,0.5030621110610645,778.23828125,317.439453125,524288,131072,50.0,50.0,1024,256
39,0.45912143178020653,798.71875,312.3203125,524288,131072,50.0,50.0,1024,256
40,0.4157207628602395,819.19921875,307.19921875,524288,131072,50.0,50.0,1024,256
41,0.372813272813259,839.6796875,302.080078125,524288,131072,50.0,50.0,1024,256
42,0.33033405324771425,860.158203125,296.958984375,524288,131072,50.0,50.0,1024,256
43,0.28823683703574837,880.638671875,291.83984375,524288,131072,50.0,50.0,1024,256
44,0.2464603593273471,901.119140625,286.71875,524288,131072,50.0,50.0,1024,256
45,0.20496779016197425,921.599609375,281.599609375,524288,131072,50.0,50.0,1024,256
46,0.16370671637839293,942.078125,276.48046875,524288,131072,50.0,50.0,1024,256
47,0.1226184158889983,962.55859375,271.359375,524288,131072,50.0,50.0,1024,256
48,0.08167293358514739,983.0390625,266.240234375,524288,131072,50.0,50.0,1024,256
49,0.04081021846753202,1003.51953125,261.119140625,524288,131072,50.0,50.0,1024,256
50,0.0,1024.0,256.0,524288,131072,50.0,50.0,1024,256
51,0.0408161176116518,1044.478515625,250.87890625,524288,131072,50.0,50.0,1024,256
52,0.08167110047890842,1064.958984375,245.759765625,524288,131072,50.0,50.0,1024,256
53,0.12262445798289404,1085.439453125,240.638671875,524288,131072,50.0,50.0,1024,256
54,0.16370498828836072,1105.919921875,235.51953125,524288,131072,50.0,50.0,1024,256
55,0.2049655227604988,1126.3984375,230.400390625,524288,131072,50.0,50.0,1024,256
56,0.24646595886550335,1146.87890625,225.279296875,524288,131072,50.0,50.0,1024,256
57,0.2882344215658709,1167.359375,220.16015625,524288,131072,50.0,50.0,1024,256
58,0.33033962300538383,1187.83984375,215.0390625,524288,131072,50.0,50.0,1024,256
59,0.37281177918906816,1208.318359375,209.919921875,524288,131072,50.0,50.0,1024,256
60,0.4157275410144267,1228.798828125,204.798828125,524288,131072,50.0,50.0,1024,256
61,0.45912002242558536,1249.279296875,199.6796875,524288,131072,50.0,50.0,1024,256
62,0.5030691793507807,1269.759765625,194.55859375,524288,131072,50.0,50.0,1024,256
63,0.5476125789868609,1290.23828125,189.439453125,524288,131072,50.0,50.0,1024,256
64,0.5928287158937967,1310.71875,184.3203125,524288,131072,50.0,50.0,1024,256
65,0.615551383891957,1331.19921875,179.19921875,524288,65536,66.66666666666666,33.33333333333334,1024,128
66,0.5976770043386518,1351.6796875,174.080078125,524288,65536,66.66666666666666,33.33333333333334,1024,128
67,0.5819817845527238,1372.158203125,168.958984375,524288,65536,66.66666666666666,33.33333333333334,1024,128
68,0.5688787868312987,1392.638671875,163.83984375,524288,65536,66.66666666666666,33.33333333333334,1024,128
69,0.5587662493581136,1413.119140625,158.71875,524288,65536,66.66666666666666,33.33333333333334,1024,128
70,0.5521086771888436,1433.599609375,153.599609375,524288,65536,66.66666666666666,33.33333333333334,1024,128
71,0.5385136901780426,1454.078125,148.48046875,1048576,65536,80.0,20.0,2048,128
72,0.5013400584403166,1474.55859375,143.359375,1048576,65536,80.0,20.0,2048,128
73,0.4674120653694363,1495.0390625,138.240234375,1048576,65536,80.0,20.0,2048,128
74,0.4380717328143433,1515.51953125,133.119140625,1048576,65536,80.0,20.0,2048,128
75,0.4150374992788439,1536.0,128.0,1048576,65536,80.0,20.0,2048,128
76,0.4002881281814114,1556.478515625,122.87890625,1048576,65536,80.0,20.0,2048,128
77,0.3957949146470298,1576.958984375,117.759765625,1048576,65536,80.0,20.0,2048,128
78,0.40312318275142855,1597.439453125,112.638671875,1048576,65536,80.0,20.0,2048,128
79,0.42299677172562006,1617.919921875,107.51953125,1048576,65536,80.0,20.0,2048,128
80,0.4552721592901461,1638.3984375,102.400390625,1048576,65536,80.0,20.0,2048,128
81,0.49918745382188406,1658.87890625,97.279296875,1048576,65536,80.0,20.0,2048,128
82,0.5536956264214644,1679.359375,92.16015625,1048576,65536,80.0,20.0,2048,128
83,0.5186864137215206,1699.83984375,87.0390625,1048576,32768,88.88888888888889,11.111111111111114,2048,64
84,0.43601591372704895,1720.318359375,81.919921875,1048576,32768,88.88888888888889,11.111111111111114,2048,64
85,0.35234915761719204,1740.798828125,76.798828125,1048576,32768,88.88888888888889,11.111111111111114,2048,64
86,0.2721691790974434,1761.279296875,71.6796875,1048576,32768,88.88888888888889,11.111111111111114,2048,64
87,0.2087204685935297,1781.759765625,66.55859375,1048576,32768,88.88888888888889,11.111111111111114,2048,64
88,0.1936050341804416,1802.23828125,61.439453125,1048576,32768,88.88888888888889,11.111111111111114,2048,64
89,0.24954972365504371,1822.71875,56.3203125,1048576,32768,88.88888888888889,11.111111111111114,2048,64
90,0.3560294916068396,1843.19921875,51.19921875,1048576,32768,88.88888888888889,11.111111111111114,2048,64
91,0.4930732845493569,1863.6796875,46.080078125,1048576,32768,88.88888888888889,11.111111111111114,2048,64
92,0.37587759706872353,1884.158203125,40.958984375,1048576,16384,94.11764705882352,5.882352941176478,2048,32
93,0.1941430672116142,1904.638671875,35.83984375,1048576,16384,94.11764705882352,5.882352941176478,2048,32
94,0.10697736839856484,1925.119140625,30.71875,1048576,16384,94.11764705882352,5.882352941176478,2048,32
95,0.3303452761914542,1945.599609375,25.599609375,1048576,16384,94.11764705882352,5.882352941176478,2048,32
96,0.361013245280654,1966.078125,20.48046875,1048576,8192,96.96969696969697,3.030303030303031,2048,16
97,0.07352885332593882,1986.55859375,15.359375,1048576,8192,96.96969696969697,3.030303030303031,2048,16
98,0.35736743464587767,2007.0390625,10.240234375,1048576,4096,98.46153846153847,1.538461538461533,2048,8
99,0.3561968884742562,2027.51953125,5.119140625,1048576,2048,99.2248062015504,0.7751937984496067,2048,4
100,0.0,2048.0,0.0,1048576,512,99.80506822612085,0.19493177387914784,2048,1
